RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
ELK_6_TWI,ELK_6_TWI,ELK_GNODETWI,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BLCKWL_6_SOLAR1,BLCKWL_6_SOLAR1,BLACKWLL_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WHSKYTWN_2_UNIT9,WHSKYTWN_2_UNIT9,WHSKYTWN_2_UNIT9GNODE,N,GEN,Comments,2022-04-14T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-04-14T00:00:00,2030-12-31T23:59:59
CURTIS_1_FARFLD,CURTIS_1_FARFLD,CURTISS_1_N103,N,GEN,Comments,2022-04-15T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-04-15T00:00:00,2030-12-31T23:59:59
VOYAGR_2_VOAWD5,VOYAGR_2_VOAWD5,VOYAGN5_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VLCNTR_6_VCSLR2,VLCNTR_6_VCSLR2,VLYCGEN_7_N003,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
LGHTHP_6_ICEGEN,LGHTHP_6_ICEGEN,ICEGEN_7_B1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
PIT1_6_FRIVRA,PIT1_6_FRIVRA,PIT1_6_N012,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
LOTUS_6_LSFSR1,LOTUS_6_LSFSR1,Q723EQ2_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CHINO_2_SOLAR,CHINO_2_SOLAR,CHINO_6_GN001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
